Id	Description	Qty	Unit	Designators
1	Cable, 4 x 24 AWG	0.7	m	W1
2	Connector, JST ZH, female, 4 pins	1		BC-C
3	Connector, USB TYPE A, male, 4 pins	1		BC-H
4	Wire, BK	0	m	BL-H-CABLE, BL-M-CABLE
5	Wire, RD	0	m	BL-H-CABLE, BL-M-CABLE
6	Wire, YE	0	m	BL-H-CABLE, BL-M-CABLE
